GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",2591,267,2113,257,143,128,39,55,50,76,0,11,168,133,78,101,66,100,12,18
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",3275,253,3026,283,87,71,94,102,51,42,0,11,8,13,9,14,0,11,9,14
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",4040,352,3364,306,404,273,1,2,64,54,0,11,58,82,149,133,0,11,149,133
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",2750,247,1705,233,697,191,13,15,87,81,81,82,19,22,148,117,0,11,148,117
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",3771,570,2169,498,1340,389,19,27,41,41,0,11,0,11,202,168,0,11,202,168
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",3452,468,2160,317,1077,291,6,10,0,11,0,11,0,11,209,203,0,11,209,203
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",2802,287,2294,260,319,214,0,11,0,11,0,11,84,109,105,101,0,11,105,101
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",6367,351,6128,365,59,50,10,17,78,75,18,30,0,15,74,63,23,38,51,52
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",1987,218,1840,213,35,49,0,11,94,102,0,11,0,11,18,30,0,11,18,30
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",2673,205,2387,225,224,155,0,11,0,11,0,11,0,11,62,63,37,59,25,22
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",2028,199,1749,203,94,49,22,36,0,11,0,11,28,35,135,89,11,16,124,81
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",3220,255,2774,352,346,241,0,11,12,20,0,11,62,72,26,19,0,11,26,19
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",1874,121,1798,122,43,38,0,11,6,8,0,11,0,11,27,31,0,11,27,31
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",1448,155,1125,161,46,53,104,125,65,64,0,11,6,9,102,82,0,11,102,82
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",2408,274,2149,212,156,190,0,11,20,22,0,11,0,11,83,60,0,11,83,60
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",3902,279,3444,271,340,259,0,11,58,65,0,11,9,13,51,55,0,11,51,55
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",3435,282,3017,243,193,133,0,11,105,69,19,28,40,41,61,43,0,11,61,43
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",1597,262,1297,226,147,96,1,2,126,83,0,11,0,11,26,30,0,11,26,30
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",3483,337,2643,317,454,227,11,16,335,136,0,11,10,17,30,33,0,11,30,33
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",2977,265,1278,201,1437,264,0,11,164,93,0,11,0,11,98,70,0,11,98,70
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",2450,359,234,136,2102,307,0,11,32,36,0,11,0,11,82,72,0,11,82,72
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",2337,322,221,132,1921,310,9,13,0,11,0,11,37,57,149,94,0,11,149,94
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",2993,384,126,116,2800,398,0,11,23,27,0,11,0,11,44,65,0,11,44,65
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",1724,240,12,12,1679,229,0,11,0,11,7,15,0,11,26,41,0,11,26,41
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",1825,325,9,20,1807,331,0,11,0,11,0,11,0,11,9,19,0,11,9,19
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",1455,236,16,18,1406,235,5,9,4,7,0,11,3,4,21,28,5,9,16,26
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",2445,370,18,28,2397,373,0,11,0,11,0,11,0,11,30,34,12,21,18,28
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",2852,364,133,73,2680,343,0,11,0,11,0,11,0,11,39,50,0,11,39,50
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",1709,270,17,31,1683,273,9,10,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",2960,558,2,4,2914,553,0,11,0,11,0,11,0,11,44,77,0,11,44,77
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",1156,212,6,10,1128,205,0,11,6,9,0,11,16,25,0,11,0,11,0,11
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",4675,492,72,71,4572,489,22,25,0,11,0,11,0,11,9,14,0,11,9,14
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",2968,426,31,36,2937,428,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",2420,358,29,35,2346,352,18,30,9,13,0,11,0,11,18,21,0,11,18,21
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",2197,238,42,55,2150,248,0,11,0,11,0,11,0,11,5,7,0,11,5,7
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",3144,464,108,111,3020,442,15,25,0,11,0,11,0,11,1,3,0,11,1,3
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",2504,358,82,57,2359,364,0,11,0,11,0,11,24,41,39,33,0,11,39,33
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",1987,215,119,93,1848,227,0,11,13,19,0,11,0,11,7,11,0,11,7,11
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",3222,555,45,40,3153,548,6,10,0,11,0,11,0,11,18,24,0,11,18,24
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",2239,357,274,184,1949,329,0,11,0,11,0,11,0,11,16,24,0,11,16,24
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",2879,387,39,45,2787,396,0,11,0,11,0,11,0,11,53,55,0,11,53,55
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",2309,444,6,10,2281,443,0,11,22,35,0,11,0,11,0,11,0,11,0,11
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",1968,356,52,46,1916,371,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",2147,357,6,9,2115,365,0,11,0,11,0,11,0,11,26,46,0,11,26,46
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",1013,155,5,6,995,151,0,11,0,11,0,11,8,12,5,8,0,11,5,8
