"STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","countTested","pctElevated"
"29","510","118100","29510118100","1181","Census Tract 1181","345","9.57"
"29","510","117400","29510117400","1174","Census Tract 1174","871","12.06"
"29","510","126700","29510126700","1267","Census Tract 1267","458","18.12"
"29","510","119102","29510119102","1191.02","Census Tract 1191.02","182","2.2"
"29","510","126800","29510126800","1268","Census Tract 1268","486","4.73"
"29","510","126900","29510126900","1269","Census Tract 1269","1296","15.66"
"29","510","108100","29510108100","1081","Census Tract 1081","903","11.41"
"29","510","127000","29510127000","1270","Census Tract 1270","585","10.94"
"29","510","127400","29510127400","1274","Census Tract 1274","2116","3.12"
"29","510","103700","29510103700","1037","Census Tract 1037","417","3.36"
"29","510","103800","29510103800","1038","Census Tract 1038","758","3.03"
"29","510","123100","29510123100","1231","Census Tract 1231","928","10.67"
"29","510","104500","29510104500","1045","Census Tract 1045","248","4.84"
"29","510","106100","29510106100","1061","Census Tract 1061","796","18.97"
"29","510","126600","29510126600","1266","Census Tract 1266","1263","7.13"
"29","510","114102","29510114102","1141.02","Census Tract 1141.02","874","2.63"
"29","510","116302","29510116302","1163.02","Census Tract 1163.02","1203","18.37"
"29","510","105500","29510105500","1055","Census Tract 1055","745","11.95"
"29","510","116301","29510116301","1163.01","Census Tract 1163.01","650","10"
"29","510","106400","29510106400","1064","Census Tract 1064","758","17.55"
"29","510","119101","29510119101","1191.01","Census Tract 1191.01","135","1.48"
"29","510","105200","29510105200","1052","Census Tract 1052","393","13.99"
"29","510","105300","29510105300","1053","Census Tract 1053","694","11.67"
"29","510","114101","29510114101","1141.01","Census Tract 1141.01","1026","7.41"
"29","510","127100","29510127100","1271","Census Tract 1271","661","9.38"
"29","510","127200","29510127200","1272","Census Tract 1272","660","4.09"
"29","510","105400","29510105400","1054","Census Tract 1054","982","9.88"
"29","510","127300","29510127300","1273","Census Tract 1273","883","7.47"
"29","510","125600","29510125600","1256","Census Tract 1256","396","3.54"
"29","510","127500","29510127500","1275","Census Tract 1275","807","3.72"
"29","510","125700","29510125700","1257","Census Tract 1257","1820","3.46"
"29","510","127600","29510127600","1276","Census Tract 1276","351","4.56"
"29","510","123300","29510123300","1233","Census Tract 1233","451","10.64"
"29","510","104200","29510104200","1042","Census Tract 1042","268","5.97"
"29","510","103600","29510103600","1036","Census Tract 1036","248","5.24"
"29","510","124100","29510124100","1241","Census Tract 1241","1657","22.09"
"29","510","105198","29510105198","1051.98","Census Tract 1051.98","238","5.04"
"29","510","124200","29510124200","1242","Census Tract 1242","1109","17.67"
"29","510","124300","29510124300","1243","Census Tract 1243","529","13.23"
"29","510","123200","29510123200","1232","Census Tract 1232","409","3.42"
"29","510","124600","29510124600","1246","Census Tract 1246","721","10.12"
"29","510","125500","29510125500","1255","Census Tract 1255","279","5.02"
"29","510","101800","29510101800","1018","Census Tract 1018","713","13.88"
"29","510","106500","29510106500","1065","Census Tract 1065","909","15.73"
"29","510","102100","29510102100","1021","Census Tract 1021","491","3.26"
